date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:07	564965/564965	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/img-rev-slider/slider2.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/img-rev-slider/slider2.png	(from http://iglyphic.com/themes/html/html_safest/)
18:36:15	336677/336677	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/team/ps-1.jpg	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/team/ps-1.jpg	(from http://iglyphic.com/themes/html/html_safest/)
18:36:22	36816/36816	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/bootstrap.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/bootstrap.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:22	85578/85578	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/jquery-2.2.4.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/jquery-2.2.4.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:36	85185/85185	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/rs-plugin/js/jquery.themepunch.plugins.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/rs-plugin/js/jquery.themepunch.plugins.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:37	403/403	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/rs-plugin/js/revslider-custom.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/rs-plugin/js/revslider-custom.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:38	90102/90102	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:38	218893/218893	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/team/ps-3.jpg	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/team/ps-3.jpg	(from http://iglyphic.com/themes/html/html_safest/)
18:36:42	15011/15011	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/jqueryform/jquery.form.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/jqueryform/jquery.form.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:42	21046/21046	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/jqueryvalidate/jquery.validate.min.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/jqueryvalidate/jquery.validate.min.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:43	8199/8199	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/custom.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/custom.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:48	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.eot	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.eot	(from http://iglyphic.com/themes/html/html_safest/css/icon/et-line-font.css)
18:36:49	80237/80237	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/js/plugins.js	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/js/plugins.js	(from http://iglyphic.com/themes/html/html_safest/)
18:36:49	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-lined41d.eot?	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-lined41dd41d.eot	(from http://iglyphic.com/themes/html/html_safest/css/icon/et-line-font.css)
